sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1585056065;732903;1651507929;592352;1585056065;732903;0.1134068;
1585056065;833721;1651507929;803875;1585056065;833721;0.1134068;
1585056065;934588;1651507930;30248;1585056065;934588;0.1134068;
1585056066;35180;1651507930;250245;1585056066;35180;0.1134068;
1585056066;135708;1651507930;462422;1585056066;135708;0.1134068;
1585056066;236194;1651507930;690896;1585056066;236194;0.1134068;
1585056066;336932;1651507930;922926;1585056066;336932;0.1134068;
1585056066;437415;1651507931;116921;1585056066;437415;0.1134068;
1585056066;537927;1651507931;334412;1585056066;537927;0.1134068;
1585056066;638543;1651507931;525384;1585056066;638543;0.1134068;
1585056066;739094;1651507931;720824;1585056066;739094;0.1134068;
1585056066;839682;1651507931;939961;1585056066;839682;0.1134068;
1585056066;940260;1651507932;161197;1585056066;940260;0.1134068;
1585056067;40902;1651507932;391389;1585056067;40902;0.1134068;
1585056067;141489;1651507932;575976;1585056067;141489;0.1134068;
1585056067;242014;1651507932;791758;1585056067;242014;0.1134068;
1585056067;342542;1651507933;1096;1585056067;342542;0.1134068;
1585056067;443068;1651507933;202289;1585056067;443068;0.1134068;
1585056067;543636;1651507933;413137;1585056067;543636;0.1134068;
1585056067;644223;1651507933;605633;1585056067;644223;0.1134068;
1585056067;744850;1651507933;953231;1585056067;744850;0.1134068;
1585056067;845385;1651507934;209176;1585056067;845385;0.1134068;
1585056067;946015;1651507934;446888;1585056067;946015;0.1134068;
1585056068;46538;1651507934;678687;1585056068;46538;0.1134068;
1585056068;147048;1651507934;928348;1585056068;147048;0.1134068;
1585056068;247553;1651507935;154839;1585056068;247553;0.1134068;
1585056068;348120;1651507935;354670;1585056068;348120;0.1134068;
1585056068;448688;1651507935;548469;1585056068;448688;0.1134068;
1585056068;549203;1651507935;767674;1585056068;549203;0.1134068;
1585056068;649893;1651507935;995311;1585056068;649893;0.1134068;
1585056068;750389;1651507936;195540;1585056068;750389;0.1134068;
1585056068;850866;1651507936;401707;1585056068;850866;0.1134068;
1585056068;951388;1651507936;613802;1585056068;951388;0.1134068;
