sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angle;
1651507952;307563;1651507952;307576;1651507952;307563;0.2280516;
1651507952;532105;1651507952;532122;1651507952;532105;0.330028;
1651507953;30298;1651507953;30312;1651507953;30298;0.3036812;
1651507953;249369;1651507953;249381;1651507953;249369;0.4339965;
1651507953;464372;1651507953;464384;1651507953;464372;0.7184452;
1651507953;656846;1651507953;656858;1651507953;656846;0.8115698;
1651507953;877458;1651507953;877471;1651507953;877458;0.3902502;
1651507954;146105;1651507954;146118;1651507954;146105;0.7494939;
1651507954;679477;1651507954;679491;1651507954;679477;0.8199009;
1651507954;940360;1651507954;940374;1651507954;940360;0.5257563;
1651507955;163434;1651507955;163448;1651507955;163434;0.4149541;
1651507955;380563;1651507955;380577;1651507955;380563;0.5508612;
1651507955;631949;1651507955;631963;1651507955;631949;0.7539476;
1651507955;835593;1651507955;835611;1651507955;835593;0.4088268;
1651507956;71330;1651507956;71343;1651507956;71330;0.6416254;
1651507956;520900;1651507956;520915;1651507956;520900;0.2496927;
1651507956;738714;1651507956;738730;1651507956;738714;0.1517231;
1651507956;978449;1651507956;978462;1651507956;978449;0.1881561;
1651507957;264695;1651507957;264709;1651507957;264695;0.3783058;
1651507957;505798;1651507957;505810;1651507957;505798;0.2617229;
1651507957;768402;1651507957;768416;1651507957;768402;0.2842704;
1651507958;727;1651507958;740;1651507958;727;0.4493317;
1651507958;221913;1651507958;221928;1651507958;221913;0.8647274;
1651507958;629867;1651507958;629883;1651507958;629867;0.8708345;
1651507958;839076;1651507958;839090;1651507958;839076;0.8667729;
1651507959;52776;1651507959;52790;1651507959;52776;0.9424358;
1651507959;312012;1651507959;312028;1651507959;312012;1.031357;
1651507959;544925;1651507959;544937;1651507959;544925;1.018791;
1651507960;36313;1651507960;36329;1651507960;36313;1.004291;
1651507960;257707;1651507960;257720;1651507960;257707;0.8600891;
1651507960;458583;1651507960;458600;1651507960;458583;0.8644344;
1651507960;667639;1651507960;667653;1651507960;667639;0.9793972;
1651507960;903010;1651507960;903023;1651507960;903010;1.059287;
1651507961;162820;1651507961;162832;1651507961;162820;0.9453102;
1651507961;431081;1651507961;431100;1651507961;431081;0.9995437;
1651507961;870114;1651507961;870127;1651507961;870114;0.873425;
1651507962;79306;1651507962;79321;1651507962;79306;0.873425;
1651507962;278008;1651507962;278024;1651507962;278008;0.9933797;
1651507962;458698;1651507962;458712;1651507962;458698;0.7444391;
1651507962;676336;1651507962;676348;1651507962;676336;0.5873553;
1651507963;98713;1651507963;98726;1651507963;98713;0.05075472;
1651507963;335186;1651507963;335201;1651507963;335186;-0.7918406;
1651507963;548060;1651507963;548078;1651507963;548060;-0.7979618;
1651507963;789348;1651507963;789362;1651507963;789348;-0.7600603;
1651507963;993957;1651507963;993974;1651507963;993957;-0.704906;
1651507964;217991;1651507964;218002;1651507964;217991;-0.4477391;
1651507964;405820;1651507964;405835;1651507964;405820;-0.4272429;
1651507964;652181;1651507964;652194;1651507964;652181;0.04035901;
1651507965;3398;1651507965;3413;1651507965;3398;0.05075472;
1651507965;260893;1651507965;260908;1651507965;260893;0.05906363;
1651507965;465753;1651507965;465767;1651507965;465753;0.05698711;
1651507965;666956;1651507965;666970;1651507965;666956;-0.557803;
1651507965;880009;1651507965;880022;1651507965;880009;-0.0158688;
1651507966;96067;1651507966;96079;1651507966;96067;0.5210635;
1651507966;286859;1651507966;286872;1651507966;286859;0.5902398;
1651507966;483208;1651507966;483225;1651507966;483208;0.7330356;
1651507966;903286;1651507966;903298;1651507966;903286;0.7567124;
1651507967;115270;1651507967;115283;1651507967;115270;0.3383988;
1651507967;299552;1651507967;299566;1651507967;299552;0.2691625;
1651507967;548658;1651507967;548669;1651507967;548658;0.3604799;
1651507967;791631;1651507967;791645;1651507967;791631;0.3920319;
1651507968;63004;1651507968;63018;1651507968;63004;0.6129192;
1651507968;487076;1651507968;487090;1651507968;487076;0.7060962;
1651507969;85151;1651507969;85165;1651507969;85151;0.59383;
1651507969;590975;1651507969;590992;1651507969;590975;0.5092205;
1651507970;126119;1651507970;126138;1651507970;126119;0.7861945;
1651507970;640943;1651507970;640963;1651507970;640943;0.7576308;
1651507970;910222;1651507970;910233;1651507970;910222;0.0007963268;
1651507971;121143;1651507971;121159;1651507971;121143;0.0007963268;
1651507971;310076;1651507971;310091;1651507971;310076;1.047794;
1651507971;514030;1651507971;514045;1651507971;514030;1.043858;
1651507971;892229;1651507971;892241;1651507971;892229;0.9409901;
1651507972;110819;1651507972;110833;1651507972;110819;0.9395386;
1651507972;344143;1651507972;344168;1651507972;344143;0.9492254;
1651507973;75768;1651507973;75781;1651507973;75768;0.6729915;
1651507973;329613;1651507973;329624;1651507973;329613;0.8952224;
1651507973;767270;1651507973;767285;1651507973;767270;0.9008962;
1651507973;997025;1651507973;997038;1651507973;997025;0.6157046;
1651507974;224193;1651507974;224209;1651507974;224193;0.4710883;
1651507974;466565;1651507974;466578;1651507974;466565;0.5084254;
1651507974;911546;1651507974;911559;1651507974;911546;0.4408396;
1651507975;151929;1651507975;151941;1651507975;151929;0.2652847;
1651507975;346665;1651507975;346678;1651507975;346665;-0.04812295;
1651507975;539829;1651507975;539842;1651507975;539829;-0.4859115;
1651507975;765758;1651507975;765772;1651507975;765758;-0.7125007;
1651507975;965798;1651507975;965811;1651507975;965798;-0.873979;
1651507976;190292;1651507976;190304;1651507976;190292;-0.8542564;
1651507976;654398;1651507976;654412;1651507976;654398;-0.9557986;
1651507976;951557;1651507976;951568;1651507976;951557;-0.8433577;
1651507977;177602;1651507977;177616;1651507977;177602;-0.7793663;
1651507977;364246;1651507977;364266;1651507977;364246;-0.4883497;
1651507977;590636;1651507977;590650;1651507977;590636;-0.5929533;
1651507978;106321;1651507978;106334;1651507978;106321;-0.620569;
1651507978;303543;1651507978;303555;1651507978;303543;-0.6460298;
1651507978;515424;1651507978;515440;1651507978;515424;-0.6407018;
1651507978;720165;1651507978;720178;1651507978;720165;-0.4553232;
1651507979;131821;1651507979;131838;1651507979;131821;-0.1409549;
