sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1585056065;934896;1651507930;34427;1585056065;934896;0.09297372;
1585056066;35430;1651507930;252349;1585056066;35430;0.08097139;
1585056066;135938;1651507930;472807;1585056066;135938;0.08397198;
1585056066;236626;1651507930;696410;1585056066;236626;0.08097139;
1585056066;337151;1651507930;925802;1585056066;337151;0.08097139;
1585056066;437671;1651507931;124441;1585056066;437671;0.128963;
1585056066;538259;1651507931;336062;1585056066;538259;0.2039332;
1585056066;638804;1651507931;526720;1585056066;638804;0.1619428;
1585056066;739391;1651507931;726963;1585056066;739391;0.1499493;
1585056066;839924;1651507931;949959;1585056066;839924;0.1379559;
1585056066;940576;1651507932;167251;1585056066;940576;0.1079678;
1585056067;41199;1651507932;394453;1585056067;41199;0.02999697;
1585056067;141719;1651507932;581577;1585056067;141719;0.02999697;
1585056067;242271;1651507932;794234;1585056067;242271;0.01500292;
1585056067;342790;1651507933;1947;1585056067;342790;0.06597735;
1585056067;443353;1651507933;212863;1585056067;443353;0.1199612;
1585056067;543897;1651507933;419464;1585056067;543897;0.06597735;
1585056067;644569;1651507933;612509;1585056067;644569;0.06597735;
1585056067;745112;1651507933;963695;1585056067;745112;0.05698447;
1585056067;845696;1651507934;213887;1585056067;845696;0.02099521;
1585056067;946251;1651507934;449257;1585056067;946251;0.01799463;
1585056068;46781;1651507934;685107;1585056068;46781;0.01200234;
1585056068;147289;1651507934;932814;1585056068;147289;0.01799463;
1585056068;247812;1651507935;164264;1585056068;247812;0.06298564;
1585056068;348407;1651507935;357999;1585056068;348407;0.09896602;
1585056068;448934;1651507935;554847;1585056068;448934;0.08997314;
1585056068;549556;1651507935;775026;1585056068;549556;0.08997314;
1585056068;650143;1651507935;997875;1585056068;650143;0.07797969;
1585056068;750613;1651507936;201635;1585056068;750613;0.0749791;
1585056068;851123;1651507936;405806;1585056068;851123;0.07197852;
1585056068;951634;1651507936;615893;1585056068;951634;0.06897793;
1585056069;52096;1651507936;866118;1585056069;52096;0.06897793;
1585056069;152647;1651507937;49232;1585056069;152647;0.06897793;
1585056069;253214;1651507937;287878;1585056069;253214;0.06897793;
1585056069;353897;1651507937;528298;1585056069;353897;0.06897793;
1585056069;454423;1651507937;748749;1585056069;454423;0.0479916;
1585056069;554964;1651507938;47904;1585056069;554964;0.0479916;
1585056069;655461;1651507938;248837;1585056069;655461;0.0479916;
1585056069;756037;1651507938;547864;1585056069;756037;0.0479916;
